baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_id,locus_tag,feature_type,gene_symbol,product,EC_number,COG,display_name,plot_label,classification
2814.371314,4.599182558,0.083900123,54.81735207,0,0,AENJPLPP_00966,AENJPLPP_00966,CDS,NA,hypothetical protein,,,hypothetical protein,hypothetical protein,Up in serum
242.4957673,4.594688812,0.2159158,21.28000272,1.74E-100,1.00E-99,AENJPLPP_00928,AENJPLPP_00928,CDS,NA,hypothetical protein,,,hypothetical protein,hypothetical protein,Up in serum
954.889171,4.539176272,0.117034465,38.78495357,0,0,AENJPLPP_00930,AENJPLPP_00930,CDS,NA,hypothetical protein,,,hypothetical protein,hypothetical protein,Up in serum
1378.193145,4.531742842,0.101707933,44.55643452,0,0,AENJPLPP_00967,AENJPLPP_00967,CDS,NA,hypothetical protein,,,hypothetical protein,hypothetical protein,Up in serum
5996.25561,4.49325004,0.076459965,58.76604897,0,0,AENJPLPP_02927,AENJPLPP_02927,CDS,NA,hypothetical protein,,,hypothetical protein,hypothetical protein,Up in serum
1775.274528,4.451423461,0.109790218,40.54480948,0,0,AENJPLPP_02751,AENJPLPP_02751,CDS,NA,hypothetical protein,,,hypothetical protein,hypothetical protein,Up in serum
876.4302756,4.437977729,0.123089806,36.05479518,1.16E-284,1.77E-283,AENJPLPP_00968,AENJPLPP_00968,CDS,NA,hypothetical protein,,,hypothetical protein,hypothetical protein,Up in serum
245.7445815,4.387519254,0.203373132,21.57374095,3.17E-103,1.88E-102,AENJPLPP_00947,AENJPLPP_00947,CDS,NA,hypothetical protein,,,hypothetical protein,hypothetical protein,Up in serum
537.491949,4.372442696,0.146597019,29.82627298,1.78E-195,1.82E-194,AENJPLPP_00946,AENJPLPP_00946,CDS,NA,hypothetical protein,,,hypothetical protein,hypothetical protein,Up in serum
946.7957298,4.368594111,0.114208064,38.25118776,3.97426405514699e-320,7.21227148486135e-319,AENJPLPP_00309,AENJPLPP_00309,CDS,yidA_1,Sugar phosphatase YidA,3.1.3.23,COG0561,yidA_1,"yidA_1
(AENJPLPP_00309)",Up in serum
22575.23983,4.361811299,0.075154405,58.03799918,0,0,AENJPLPP_00847,AENJPLPP_00847,CDS,NA,hypothetical protein,,,hypothetical protein,hypothetical protein,Up in serum
1533.020698,4.342822821,0.103055989,42.14042174,0,0,AENJPLPP_01863,AENJPLPP_01863,CDS,NA,hypothetical protein,,,hypothetical protein,hypothetical protein,Up in serum
1150.218244,4.320639245,0.10512414,41.10035275,0,0,AENJPLPP_02155,AENJPLPP_02155,CDS,NA,hypothetical protein,,,hypothetical protein,hypothetical protein,Up in serum
14299.661,4.310030027,0.07103626,60.67366198,0,0,AENJPLPP_00808,AENJPLPP_00808,CDS,pbuO,Guanine/hypoxanthine permease PbuO,,COG2252,pbuO,"pbuO
(AENJPLPP_00808)",Up in serum
15721.45366,4.287894005,0.075680292,56.65800019,0,0,AENJPLPP_00316,AENJPLPP_00316,CDS,NA,hypothetical protein,,,hypothetical protein,hypothetical protein,Up in serum
181.5038474,4.279989649,0.22841038,18.73815736,2.42E-78,1.17E-77,AENJPLPP_02191,AENJPLPP_02191,CDS,NA,hypothetical protein,,,hypothetical protein,hypothetical protein,Up in serum
1995.226537,4.216271202,0.095702007,44.0562464,0,0,AENJPLPP_01862,AENJPLPP_01862,CDS,rclA,putative pyridine nucleotide-disulfide oxidoreductase RclA,,COG1249,rclA,"rclA
(AENJPLPP_01862)",Up in serum
76.1385806,4.215164642,0.344075696,12.25068986,1.67E-34,4.73E-34,AENJPLPP_00972,AENJPLPP_00972,CDS,NA,hypothetical protein,,,hypothetical protein,hypothetical protein,Up in serum
24.09646536,4.198114264,0.596521894,7.037653279,1.96E-12,3.77E-12,AENJPLPP_00944,AENJPLPP_00944,CDS,NA,hypothetical protein,,,hypothetical protein,hypothetical protein,Up in serum
41.72727925,4.184954073,0.452556625,9.247360091,2.30E-20,5.27E-20,AENJPLPP_02178,AENJPLPP_02178,CDS,NA,hypothetical protein,,,hypothetical protein,hypothetical protein,Up in serum
563.6370815,4.158735151,0.135679975,30.65106064,2.56E-206,2.74E-205,AENJPLPP_02961,AENJPLPP_02961,CDS,NA,hypothetical protein,,,hypothetical protein,hypothetical protein,Up in serum
1479.450673,4.141278421,0.09650299,42.91347245,0,0,AENJPLPP_01981,AENJPLPP_01981,CDS,yvbW,putative amino acid permease YvbW,,COG1113,yvbW,"yvbW
(AENJPLPP_01981)",Up in serum
1652.850296,4.076002057,0.094477801,43.14243148,0,0,AENJPLPP_02926,AENJPLPP_02926,CDS,hsdS,Type-1 restriction enzyme EcoKI specificity protein,,COG0732,hsdS,"hsdS
(AENJPLPP_02926)",Up in serum
127.6152165,4.040073717,0.253815736,15.91734923,4.80E-57,1.89E-56,AENJPLPP_00948,AENJPLPP_00948,CDS,NA,hypothetical protein,,,hypothetical protein,hypothetical protein,Up in serum
510.027252,4.037970896,0.147955521,27.29178924,5.31E-164,4.49E-163,AENJPLPP_02959,AENJPLPP_02959,CDS,sorA_4,PTS system sorbose-specific EIIC component,,COG3715,sorA_4,"sorA_4
(AENJPLPP_02959)",Up in serum
632.6660086,4.001605138,0.127073759,31.49041288,1.18E-217,1.33E-216,AENJPLPP_00640,AENJPLPP_00640,CDS,NA,hypothetical protein,,,hypothetical protein,hypothetical protein,Up in serum
509.0359337,3.994274747,0.161851088,24.67870193,1.81E-134,1.30E-133,AENJPLPP_01145,AENJPLPP_01145,CDS,licR_2,putative licABCH operon regulator,,COG1762,licR_2,"licR_2
(AENJPLPP_01145)",Up in serum
508.4803086,3.984093691,0.134776404,29.56076558,4.78E-192,4.73E-191,AENJPLPP_00610,AENJPLPP_00610,CDS,dcuS_1,Sensor histidine kinase DcuS,2.7.13.3,COG3290,dcuS_1,"dcuS_1
(AENJPLPP_00610)",Up in serum
635.8105028,3.96855631,0.129833702,30.56645721,3.42E-205,3.64E-204,AENJPLPP_01872,AENJPLPP_01872,CDS,ydbD,putative manganese catalase,1.11.1.6,COG3546,ydbD,"ydbD
(AENJPLPP_01872)",Up in serum
