"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_id","locus_tag","feature_type","gene_symbol","product","EC_number","COG","display_name","plot_label","classification"
21730.184130808,-4.37458902434767,0.0627022685978218,-69.7676355604722,0,0,"AENJPLPP_01153","AENJPLPP_01153","CDS",NA,"putative ABC transporter ATP-binding protein","","COG1132","putative ABC transporter ATP-binding protein","putative ABC transporter ATP-binding protein","Down in serum"
16121.6348687381,-4.15408466197413,0.0674769270799348,-61.5630385339436,0,0,"AENJPLPP_01154","AENJPLPP_01154","CDS",NA,"putative ABC transporter ATP-binding protein","","COG1132","putative ABC transporter ATP-binding protein","putative ABC transporter ATP-binding protein","Down in serum"
18627.6806156097,-2.99785983682253,0.0648017771276987,-46.2620003601897,0,0,"AENJPLPP_01357","AENJPLPP_01357","CDS","rpsI","30S ribosomal protein S9","","COG0103","rpsI","rpsI
(AENJPLPP_01357)","Down in serum"
29463.1161612886,-4.00825489463333,0.0611257733838513,-65.5738925291416,0,0,"AENJPLPP_01358","AENJPLPP_01358","CDS","rplM","50S ribosomal protein L13","","","rplM","rplM
(AENJPLPP_01358)","Down in serum"
34949.6510287943,-2.30701805864486,0.0524027455432306,-44.0247554728147,0,0,"AENJPLPP_01473","AENJPLPP_01473","CDS","rpsL","30S ribosomal protein S12","","COG0048","rpsL","rpsL
(AENJPLPP_01473)","Down in serum"
15640.5966962808,-2.60944315670037,0.0573586176188785,-45.4934805793074,0,0,"AENJPLPP_01482","AENJPLPP_01482","CDS","rpsS","30S ribosomal protein S19","","COG0185","rpsS","rpsS
(AENJPLPP_01482)","Down in serum"
15915.5201801914,-2.44158284961373,0.0617430579710138,-39.5442488572556,0,0,"AENJPLPP_01483","AENJPLPP_01483","CDS","rplV","50S ribosomal protein L22","","COG0091","rplV","rplV
(AENJPLPP_01483)","Down in serum"
32325.9817258286,-2.561365872151,0.060875955889545,-42.0751647300358,0,0,"AENJPLPP_01487","AENJPLPP_01487","CDS","rpsQ","30S ribosomal protein S17","","COG0186","rpsQ","rpsQ
(AENJPLPP_01487)","Down in serum"
17981.6109901857,-2.58877318557969,0.0549509338383775,-47.1106313351076,0,0,"AENJPLPP_01488","AENJPLPP_01488","CDS","rplN","50S ribosomal protein L14","","COG0093","rplN","rplN
(AENJPLPP_01488)","Down in serum"
37447.076892309,-2.53404652719622,0.0635419038506628,-39.8799276325081,0,0,"AENJPLPP_01489","AENJPLPP_01489","CDS","rplX","50S ribosomal protein L24","","","rplX","rplX
(AENJPLPP_01489)","Down in serum"
20872.206851362,-2.60473410618656,0.0575084304842366,-45.2930828446194,0,0,"AENJPLPP_01490","AENJPLPP_01490","CDS","rplE","50S ribosomal protein L5","","COG0094","rplE","rplE
(AENJPLPP_01490)","Down in serum"
