"gene_id","gene_symbol","product","display_name","feature_type","EC_number","COG","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","classification","plot_label","locus_tag"
"AENJPLPP_00930",NA,"hypothetical protein","hypothetical protein","CDS","","",954.889171021977,4.53917627248333,0.117034464526184,38.7849535678252,0,0,"Up in serum","hypothetical protein","AENJPLPP_00930"
"AENJPLPP_00966",NA,"hypothetical protein","hypothetical protein","CDS","","",2814.37131353707,4.59918255796618,0.0839001225706258,54.8173520735284,0,0,"Up in serum","hypothetical protein","AENJPLPP_00966"
"AENJPLPP_00967",NA,"hypothetical protein","hypothetical protein","CDS","","",1378.19314502244,4.53174284161003,0.101707932646079,44.5564345249203,0,0,"Up in serum","hypothetical protein","AENJPLPP_00967"
"AENJPLPP_00977",NA,"hypothetical protein","hypothetical protein","CDS","","",3263.6526153571,5.1957245819632,0.0859800730455819,60.4294041388952,0,0,"Up in serum","hypothetical protein","AENJPLPP_00977"
"AENJPLPP_00979",NA,"hypothetical protein","hypothetical protein","CDS","","",1341.66290318945,5.46260538095866,0.12617885601118,43.2925575143481,0,0,"Up in serum","hypothetical protein","AENJPLPP_00979"
"AENJPLPP_00980",NA,"hypothetical protein","hypothetical protein","CDS","","",1824.99276532999,3.89904081584442,0.0895062056104075,43.5616814415721,0,0,"Up in serum","hypothetical protein","AENJPLPP_00980"
"AENJPLPP_01020","rplL","50S ribosomal protein L7/L12","rplL","CDS","","COG0222",50219.5721754604,-3.0875121927659,0.0503574092278996,-61.3119745456507,0,0,"Down in serum","rplL
(AENJPLPP_01020)","AENJPLPP_01020"
"AENJPLPP_01021","rplJ","50S ribosomal protein L10","rplJ","CDS","","",109931.619997051,-2.87260701626015,0.073930030884484,-38.8557529584779,0,0,"Down in serum","rplJ
(AENJPLPP_01021)","AENJPLPP_01021"
"AENJPLPP_01022","rplA","50S ribosomal protein L1","rplA","CDS","","",25838.3592036584,-2.54799801998822,0.058084026848577,-43.8674478722139,0,0,"Down in serum","rplA
(AENJPLPP_01022)","AENJPLPP_01022"
"AENJPLPP_01023","rplK","50S ribosomal protein L11","rplK","CDS","","",30434.9987511828,-2.61873362008808,0.0569048734596988,-46.019496413479,0,0,"Down in serum","rplK
(AENJPLPP_01023)","AENJPLPP_01023"
"AENJPLPP_01082","ackA","Acetate kinase","ackA","CDS","2.7.2.1","COG0282",4850.41198619534,-2.42844004372001,0.0618652235511571,-39.2537180717031,0,0,"Down in serum","ackA
(AENJPLPP_01082)","AENJPLPP_01082"
"AENJPLPP_01083",NA,"hypothetical protein","hypothetical protein","CDS","","",4099.93386590632,-3.48462937164851,0.0709742501661932,-49.0970931498242,0,0,"Down in serum","hypothetical protein","AENJPLPP_01083"
"AENJPLPP_01091","adeC","Adenine deaminase","adeC","CDS","3.5.4.2","",2549.68892874617,2.86870191197308,0.0741467284713843,38.6895277932621,0,0,"Up in serum","adeC
(AENJPLPP_01091)","AENJPLPP_01091"
"AENJPLPP_01153",NA,"putative ABC transporter ATP-binding protein","putative ABC transporter ATP-binding protein","CDS","","COG1132",21730.184130808,-4.37458902434767,0.0627022685978218,-69.7676355604722,0,0,"Down in serum","putative ABC transporter ATP-binding protein","AENJPLPP_01153"
"AENJPLPP_01154",NA,"putative ABC transporter ATP-binding protein","putative ABC transporter ATP-binding protein","CDS","","COG1132",16121.6348687381,-4.15408466197413,0.0674769270799348,-61.5630385339436,0,0,"Down in serum","putative ABC transporter ATP-binding protein","AENJPLPP_01154"
"AENJPLPP_01157",NA,"Muramidase-2","Muramidase-2","CDS","3.2.1.17","",24898.5436783987,2.45404746840647,0.0519811628296198,47.2103226403413,0,0,"Up in serum","Muramidase-2","AENJPLPP_01157"
"AENJPLPP_01212",NA,"hypothetical protein","hypothetical protein","CDS","","",164446.090561881,2.00783558377926,0.050307207293484,39.9114896612304,0,0,"Up in serum","hypothetical protein","AENJPLPP_01212"
"AENJPLPP_01357","rpsI","30S ribosomal protein S9","rpsI","CDS","","COG0103",18627.6806156097,-2.99785983682253,0.0648017771276987,-46.2620003601897,0,0,"Down in serum","rpsI
(AENJPLPP_01357)","AENJPLPP_01357"
"AENJPLPP_01358","rplM","50S ribosomal protein L13","rplM","CDS","","",29463.1161612886,-4.00825489463333,0.0611257733838513,-65.5738925291416,0,0,"Down in serum","rplM
(AENJPLPP_01358)","AENJPLPP_01358"
"AENJPLPP_01473","rpsL","30S ribosomal protein S12","rpsL","CDS","","COG0048",34949.6510287943,-2.30701805864486,0.0524027455432306,-44.0247554728147,0,0,"Down in serum","rpsL
(AENJPLPP_01473)","AENJPLPP_01473"
"AENJPLPP_01482","rpsS","30S ribosomal protein S19","rpsS","CDS","","COG0185",15640.5966962808,-2.60944315670037,0.0573586176188785,-45.4934805793074,0,0,"Down in serum","rpsS
(AENJPLPP_01482)","AENJPLPP_01482"
"AENJPLPP_01483","rplV","50S ribosomal protein L22","rplV","CDS","","COG0091",15915.5201801914,-2.44158284961373,0.0617430579710138,-39.5442488572556,0,0,"Down in serum","rplV
(AENJPLPP_01483)","AENJPLPP_01483"
"AENJPLPP_01487","rpsQ","30S ribosomal protein S17","rpsQ","CDS","","COG0186",32325.9817258286,-2.561365872151,0.060875955889545,-42.0751647300358,0,0,"Down in serum","rpsQ
(AENJPLPP_01487)","AENJPLPP_01487"
"AENJPLPP_01488","rplN","50S ribosomal protein L14","rplN","CDS","","COG0093",17981.6109901857,-2.58877318557969,0.0549509338383775,-47.1106313351076,0,0,"Down in serum","rplN
(AENJPLPP_01488)","AENJPLPP_01488"
"AENJPLPP_01489","rplX","50S ribosomal protein L24","rplX","CDS","","",37447.076892309,-2.53404652719622,0.0635419038506628,-39.8799276325081,0,0,"Down in serum","rplX
(AENJPLPP_01489)","AENJPLPP_01489"
"AENJPLPP_01490","rplE","50S ribosomal protein L5","rplE","CDS","","COG0094",20872.206851362,-2.60473410618656,0.0575084304842366,-45.2930828446194,0,0,"Down in serum","rplE
(AENJPLPP_01490)","AENJPLPP_01490"
"AENJPLPP_01491","rpsZ","30S ribosomal protein S14 type Z","rpsZ","CDS","","COG0199",12786.5811708052,-2.75131065210494,0.0682488150837775,-40.3129438764267,0,0,"Down in serum","rpsZ
(AENJPLPP_01491)","AENJPLPP_01491"
"AENJPLPP_01493","rplF","50S ribosomal protein L6","rplF","CDS","","",25914.6080493391,-2.33030491208234,0.0525996745727938,-44.3026488473305,0,0,"Down in serum","rplF
(AENJPLPP_01493)","AENJPLPP_01493"
"AENJPLPP_01494","rplR","50S ribosomal protein L18","rplR","CDS","","COG0256",24357.5223530939,-2.62056648400508,0.0578233908524615,-45.3201800408341,0,0,"Down in serum","rplR
(AENJPLPP_01494)","AENJPLPP_01494"
"AENJPLPP_01495","rpsE","30S ribosomal protein S5","rpsE","CDS","","COG0098",33796.4598197894,-2.48075422802862,0.0590890653452539,-41.9833045849299,0,0,"Down in serum","rpsE
(AENJPLPP_01495)","AENJPLPP_01495"
"AENJPLPP_01496","rpmD","50S ribosomal protein L30","rpmD","CDS","","COG1841",7171.83144171061,-2.61251900387875,0.0578376625816582,-45.1698579656511,0,0,"Down in serum","rpmD
(AENJPLPP_01496)","AENJPLPP_01496"
"AENJPLPP_01498","secY","Protein translocase subunit SecY","secY","CDS","","",84414.3482633207,-2.71988431503039,0.0565364057465617,-48.1085466809287,0,0,"Down in serum","secY
(AENJPLPP_01498)","AENJPLPP_01498"
"AENJPLPP_01499","adk","Adenylate kinase","adk","CDS","2.7.4.3","",26118.709920207,-2.94516084128871,0.0544475152623526,-54.0917400380458,0,0,"Down in serum","adk
(AENJPLPP_01499)","AENJPLPP_01499"
"AENJPLPP_01502","rpsM","30S ribosomal protein S13","rpsM","CDS","","COG0099",16291.0295886143,-2.33891350739409,0.0549444726953326,-42.5686769324984,0,0,"Down in serum","rpsM
(AENJPLPP_01502)","AENJPLPP_01502"
"AENJPLPP_01503","rpsK","30S ribosomal protein S11","rpsK","CDS","","",13045.0503924342,-2.54504048525664,0.0608842164189062,-41.8013178940468,0,0,"Down in serum","rpsK
(AENJPLPP_01503)","AENJPLPP_01503"
"AENJPLPP_01505","rplQ","50S ribosomal protein L17","rplQ","CDS","","COG0203",56802.6845458282,-2.27341341192338,0.0581074644681233,-39.1242920807624,0,0,"Down in serum","rplQ
(AENJPLPP_01505)","AENJPLPP_01505"
